pair_idx,bias,prompt,ari,panel,Rank_ARI_5,Rank_Wrong_Answer_ARI_5
0,PB,baseline,5,"gpt-3,qwen,mistral",2,1
1,PB,baseline,5,"gpt-3,qwen,mistral",1,2
2,PB,baseline,5,"gpt-3,qwen,mistral",2,1
3,PB,baseline,5,"gpt-3,qwen,mistral",1,2
4,PB,baseline,5,"gpt-3,qwen,mistral",1,2
5,PB,baseline,5,"gpt-3,qwen,mistral",2,1
6,PB,baseline,5,"gpt-3,qwen,mistral",1,2
7,PB,baseline,5,"gpt-3,qwen,mistral",2,1
8,PB,baseline,5,"gpt-3,qwen,mistral",1,2
9,PB,baseline,5,"gpt-3,qwen,mistral",2,1
10,PB,baseline,5,"gpt-3,qwen,mistral",2,1
11,PB,baseline,5,"gpt-3,qwen,mistral",1,2
12,PB,baseline,5,"gpt-3,qwen,mistral",2,1
13,PB,baseline,5,"gpt-3,qwen,mistral",1,2
14,PB,baseline,5,"gpt-3,qwen,mistral",1,2
15,PB,baseline,5,"gpt-3,qwen,mistral",1,2
16,PB,baseline,5,"gpt-3,qwen,mistral",2,1
17,PB,baseline,5,"gpt-3,qwen,mistral",1,2
18,PB,baseline,5,"gpt-3,qwen,mistral",1,2
19,PB,baseline,5,"gpt-3,qwen,mistral",1,2
20,PB,baseline,5,"gpt-3,qwen,mistral",1,2
21,PB,baseline,5,"gpt-3,qwen,mistral",2,1
22,PB,baseline,5,"gpt-3,qwen,mistral",1,2
23,PB,baseline,5,"gpt-3,qwen,mistral",2,1
24,PB,baseline,5,"gpt-3,qwen,mistral",2,1
25,PB,baseline,5,"gpt-3,qwen,mistral",2,1
26,PB,baseline,5,"gpt-3,qwen,mistral",1,2
27,PB,baseline,5,"gpt-3,qwen,mistral",1,2
28,PB,baseline,5,"gpt-3,qwen,mistral",1,2
29,PB,baseline,5,"gpt-3,qwen,mistral",2,1
30,PB,baseline,5,"gpt-3,qwen,mistral",1,2
31,PB,baseline,5,"gpt-3,qwen,mistral",1,2
32,PB,baseline,5,"gpt-3,qwen,mistral",1,2
33,PB,baseline,5,"gpt-3,qwen,mistral",1,2
34,PB,baseline,5,"gpt-3,qwen,mistral",2,1
35,PB,baseline,5,"gpt-3,qwen,mistral",1,2
36,PB,baseline,5,"gpt-3,qwen,mistral",1,2
