ARI,ci_high,ci_low,exp_name,group,k,metric,mode,model,n,rate
5,0.4223602216465964,0.3269062300181007,JARI5-baseline,Correct,146,score_exact,RR,GPT-4,391,0.3734015345268542
5,0.9261742607196556,0.8665489779566051,JARI5-baseline,Correct,352,score_eps1,RR,GPT-4,391,0.9002557544757033
5,0.5581746338127506,0.4595540009180284,JARI5-baseline,Wrong,199,score_exact,RR,GPT-4,391,0.5089514066496164
5,0.906143948270918,0.8409913725261965,JARI5-baseline,Wrong,343,score_eps1,RR,GPT-4,391,0.8772378516624041
5,0.4223602216465964,0.3269062300181007,JARI5-baseline,Correct,146,score_exact,RR,GPT-4,391,0.3734015345268542
5,0.9261742607196556,0.8665489779566051,JARI5-baseline,Correct,352,score_eps1,RR,GPT-4,391,0.9002557544757033
5,0.5581746338127506,0.4595540009180284,JARI5-baseline,Wrong,199,score_exact,RR,GPT-4,391,0.5089514066496164
5,0.906143948270918,0.8409913725261965,JARI5-baseline,Wrong,343,score_eps1,RR,GPT-4,391,0.8772378516624041
5,0.4223602216465964,0.3269062300181007,JARI5-baseline,Correct,146,score_exact,RR,GPT-4,391,0.3734015345268542
5,0.9261742607196556,0.8665489779566051,JARI5-baseline,Correct,352,score_eps1,RR,GPT-4,391,0.9002557544757033
5,0.5581746338127506,0.4595540009180284,JARI5-baseline,Wrong,199,score_exact,RR,GPT-4,391,0.5089514066496164
5,0.906143948270918,0.8409913725261965,JARI5-baseline,Wrong,343,score_eps1,RR,GPT-4,391,0.8772378516624041
5,0.2527976428628136,0.1722880594390677,JARI9-baseline,Correct,82,score_exact,RR,GPT-4,391,0.2097186700767263
5,0.7025980656306634,0.6089193732101674,JARI9-baseline,Correct,257,score_eps1,RR,GPT-4,391,0.6572890025575447
5,0.7099410704773543,0.6167723409898584,JARI9-baseline,Wrong,260,score_exact,RR,GPT-4,391,0.6649616368286445
5,0.9878438842308536,0.956839080709227,JARI9-baseline,Wrong,382,score_eps1,RR,GPT-4,391,0.9769820971867008
5,0.0223123395865017,0.0026127502206538,JARI14-baseline,Correct,3,score_exact,RR,GPT-4,391,0.0076726342710997
5,0.0837187040856798,0.0374475456885616,JARI14-baseline,Correct,22,score_eps1,RR,GPT-4,391,0.0562659846547314
5,0.7318872255862364,0.6404141037601224,JARI14-baseline,Wrong,269,score_exact,RR,GPT-4,391,0.6879795396419437
5,0.9686732248428814,0.9253564980092592,JARI14-baseline,Wrong,372,score_eps1,RR,GPT-4,391,0.9514066496163684
5,0.4223602216465964,0.3269062300181007,JARI5-baseline,Correct,146,score_exact,RR,GPT-4,391,0.3734015345268542
5,0.9261742607196556,0.8665489779566051,JARI5-baseline,Correct,352,score_eps1,RR,GPT-4,391,0.9002557544757033
5,0.5581746338127506,0.4595540009180284,JARI5-baseline,Wrong,199,score_exact,RR,GPT-4,391,0.5089514066496164
5,0.906143948270918,0.8409913725261965,JARI5-baseline,Wrong,343,score_eps1,RR,GPT-4,391,0.8772378516624041
5,0.2527976428628136,0.1722880594390677,JARI9-baseline,Correct,82,score_exact,RR,GPT-4,391,0.2097186700767263
5,0.7025980656306634,0.6089193732101674,JARI9-baseline,Correct,257,score_eps1,RR,GPT-4,391,0.6572890025575447
5,0.7099410704773543,0.6167723409898584,JARI9-baseline,Wrong,260,score_exact,RR,GPT-4,391,0.6649616368286445
5,0.9878438842308536,0.956839080709227,JARI9-baseline,Wrong,382,score_eps1,RR,GPT-4,391,0.9769820971867008
5,0.0223123395865017,0.0026127502206538,JARI14-baseline,Correct,3,score_exact,RR,GPT-4,391,0.0076726342710997
5,0.0837187040856798,0.0374475456885616,JARI14-baseline,Correct,22,score_eps1,RR,GPT-4,391,0.0562659846547314
5,0.7318872255862364,0.6404141037601224,JARI14-baseline,Wrong,269,score_exact,RR,GPT-4,391,0.6879795396419437
5,0.9686732248428814,0.9253564980092592,JARI14-baseline,Wrong,372,score_eps1,RR,GPT-4,391,0.9514066496163684
5,0.4223602216465964,0.3269062300181007,JARI5-baseline,Correct,146,score_exact,RR,GPT-4,391,0.3734015345268542
5,0.9261742607196556,0.8665489779566051,JARI5-baseline,Correct,352,score_eps1,RR,GPT-4,391,0.9002557544757033
5,0.5581746338127506,0.4595540009180284,JARI5-baseline,Wrong,199,score_exact,RR,GPT-4,391,0.5089514066496164
5,0.906143948270918,0.8409913725261965,JARI5-baseline,Wrong,343,score_eps1,RR,GPT-4,391,0.8772378516624041
5,0.2527976428628136,0.1722880594390677,JARI9-baseline,Correct,82,score_exact,RR,GPT-4,391,0.2097186700767263
5,0.7025980656306634,0.6089193732101674,JARI9-baseline,Correct,257,score_eps1,RR,GPT-4,391,0.6572890025575447
5,0.7099410704773543,0.6167723409898584,JARI9-baseline,Wrong,260,score_exact,RR,GPT-4,391,0.6649616368286445
5,0.9878438842308536,0.956839080709227,JARI9-baseline,Wrong,382,score_eps1,RR,GPT-4,391,0.9769820971867008
5,0.0223123395865017,0.0026127502206538,JARI14-baseline,Correct,3,score_exact,RR,GPT-4,391,0.0076726342710997
5,0.0837187040856798,0.0374475456885616,JARI14-baseline,Correct,22,score_eps1,RR,GPT-4,391,0.0562659846547314
5,0.7318872255862364,0.6404141037601224,JARI14-baseline,Wrong,269,score_exact,RR,GPT-4,391,0.6879795396419437
5,0.9686732248428814,0.9253564980092592,JARI14-baseline,Wrong,372,score_eps1,RR,GPT-4,391,0.9514066496163684
5,0.4223602216465964,0.3269062300181007,JARI5-baseline,Correct,146,score_exact,RR,GPT-4,391,0.3734015345268542
5,0.9261742607196556,0.8665489779566051,JARI5-baseline,Correct,352,score_eps1,RR,GPT-4,391,0.9002557544757033
5,0.5581746338127506,0.4595540009180284,JARI5-baseline,Wrong,199,score_exact,RR,GPT-4,391,0.5089514066496164
5,0.906143948270918,0.8409913725261965,JARI5-baseline,Wrong,343,score_eps1,RR,GPT-4,391,0.8772378516624041
5,0.2527976428628136,0.1722880594390677,JARI9-baseline,Correct,82,score_exact,RR,GPT-4,391,0.2097186700767263
5,0.7025980656306634,0.6089193732101674,JARI9-baseline,Correct,257,score_eps1,RR,GPT-4,391,0.6572890025575447
5,0.7099410704773543,0.6167723409898584,JARI9-baseline,Wrong,260,score_exact,RR,GPT-4,391,0.6649616368286445
5,0.9878438842308536,0.956839080709227,JARI9-baseline,Wrong,382,score_eps1,RR,GPT-4,391,0.9769820971867008
5,0.02231233958650174,0.00261275022065385,JARI14-baseline,Correct,3,score_exact,RR,GPT-4,391,0.0076726342710997444
5,0.08371870408567987,0.037447545688561665,JARI14-baseline,Correct,22,score_eps1,RR,GPT-4,391,0.056265984654731455
5,0.7318872255862364,0.6404141037601224,JARI14-baseline,Wrong,269,score_exact,RR,GPT-4,391,0.6879795396419437
5,0.9686732248428814,0.9253564980092591,JARI14-baseline,Wrong,372,score_eps1,RR,GPT-4,391,0.9514066496163683
