ARI,ci_high,ci_low,exp_name,group,k,metric,mode,model,n,rate
9,0.356951157334203,0.2656821891106442,CR-baseline,Correct,121,score_exact,CR,GPT-4,391,0.309462915601023
9,0.8534669705759399,0.7771658934189127,CR-baseline,Correct,320,score_eps1,CR,GPT-4,391,0.8184143222506394
9,0.7777806685769929,0.690761820736452,CR-baseline,Wrong,288,score_exact,CR,GPT-4,391,0.7365728900255755
9,0.9860497458032612,0.9535678949280252,CR-baseline,Wrong,381,score_eps1,CR,GPT-4,391,0.9744245524296676
9,0.9929486436989288,0.9669302938675338,CR-baseline,Correct,385,rank_bin_overall,CR,GPT-4,391,0.9846547314578004
9,0.8696856578279965,0.7964044756284142,CR-baseline,Correct,327,rank_exact,CR,GPT-4,391,0.8363171355498721
9,0.99736020940128,0.9774596092269964,CR-baseline,Correct,384,rank_bin_top_preserve,CR,GPT-4,387,0.992248062015504
9,0.6993581574175981,0.0455872608097005,CR-baseline,Correct,1,rank_bin_bottom_preserve,CR,GPT-4,4,0.25
9,0.9960146924570076,0.9739948935270428,CR-baseline,Wrong,387,rank_bin_overall,CR,GPT-4,391,0.989769820971867
9,0.8111712222453427,0.7282858059912181,CR-baseline,Wrong,302,rank_exact,CR,GPT-4,391,0.7723785166240409
9,0.6244653702374747,0.0362241086324301,CR-baseline,Wrong,1,rank_bin_top_preserve,CR,GPT-4,5,0.2
9,1.0,0.9901460998214124,CR-baseline,Wrong,386,rank_bin_bottom_preserve,CR,GPT-4,386,1.0
9,0.9960146924570076,0.9739948935270428,CR-baseline,Both,387,rank_top1,CR,GPT-4,391,0.989769820971867
9,0.356951157334203,0.2656821891106442,CR-baseline,Correct,121,score_exact,CR,GPT-4,391,0.309462915601023
9,0.8534669705759399,0.7771658934189127,CR-baseline,Correct,320,score_eps1,CR,GPT-4,391,0.8184143222506394
9,0.7777806685769929,0.690761820736452,CR-baseline,Wrong,288,score_exact,CR,GPT-4,391,0.7365728900255755
9,0.9860497458032612,0.9535678949280252,CR-baseline,Wrong,381,score_eps1,CR,GPT-4,391,0.9744245524296676
9,0.9929486436989287,0.9669302938675338,CR-baseline,Correct,385,rank_bin_overall,CR,GPT-4,391,0.9846547314578005
9,0.8696856578279965,0.7964044756284142,CR-baseline,Correct,327,rank_exact,CR,GPT-4,391,0.8363171355498721
9,0.9973602094012801,0.9774596092269963,CR-baseline,Correct,384,rank_bin_top_preserve,CR,GPT-4,387,0.9922480620155039
9,0.6993581574175981,0.04558726080970055,CR-baseline,Correct,1,rank_bin_bottom_preserve,CR,GPT-4,4,0.25
9,0.9960146924570076,0.9739948935270429,CR-baseline,Wrong,387,rank_bin_overall,CR,GPT-4,391,0.989769820971867
9,0.8111712222453427,0.7282858059912181,CR-baseline,Wrong,302,rank_exact,CR,GPT-4,391,0.7723785166240409
9,0.6244653702374747,0.03622410863243014,CR-baseline,Wrong,1,rank_bin_top_preserve,CR,GPT-4,5,0.2
9,1.0,0.9901460998214123,CR-baseline,Wrong,386,rank_bin_bottom_preserve,CR,GPT-4,386,1.0
9,0.9960146924570076,0.9739948935270429,CR-baseline,Both,387,rank_top1,CR,GPT-4,391,0.989769820971867
