ARI,ci_high,ci_low,exp_name,group,k,metric,mode,model,n,rate
14,0.6656855459110441,0.5698520297978767,CR-baseline,Correct,242,score_exact,CR,GPT-4,391,0.618925831202046
14,0.9860497458032612,0.9535678949280252,CR-baseline,Correct,381,score_eps1,CR,GPT-4,391,0.9744245524296676
14,0.7992912403787017,0.714839166813889,CR-baseline,Wrong,297,score_exact,CR,GPT-4,391,0.7595907928388747
14,0.9842197357785264,0.950332580743966,CR-baseline,Wrong,380,score_eps1,CR,GPT-4,391,0.9718670076726342
14,0.9860497458032612,0.9535678949280252,CR-baseline,Correct,381,rank_bin_overall,CR,GPT-4,391,0.9744245524296676
14,0.8925841136851522,0.8241592618591984,CR-baseline,Correct,337,rank_exact,CR,GPT-4,391,0.8618925831202046
14,0.9972756224345296,0.9767466008687756,CR-baseline,Correct,372,rank_bin_top_preserve,CR,GPT-4,375,0.992
14,0.7690134759450765,0.331785563988119,CR-baseline,Correct,9,rank_bin_bottom_preserve,CR,GPT-4,16,0.5625
14,1.0,0.9902708828192264,CR-baseline,Wrong,391,rank_bin_overall,CR,GPT-4,391,1.0
14,0.8347661525668456,0.7553441177576551,CR-baseline,Wrong,312,rank_exact,CR,GPT-4,391,0.7979539641943734
14,1.0,0.342380227506653,CR-baseline,Wrong,2,rank_bin_top_preserve,CR,GPT-4,2,1.0
14,1.0,0.9902213507906572,CR-baseline,Wrong,389,rank_bin_bottom_preserve,CR,GPT-4,389,1.0
14,0.9945258140782346,0.970418447697022,CR-baseline,Both,386,rank_top1,CR,GPT-4,391,0.9872122762148338
14,0.6656855459110441,0.5698520297978767,CR-baseline,Correct,242,score_exact,CR,GPT-4,391,0.618925831202046
14,0.9860497458032612,0.9535678949280252,CR-baseline,Correct,381,score_eps1,CR,GPT-4,391,0.9744245524296676
14,0.7992912403787017,0.714839166813889,CR-baseline,Wrong,297,score_exact,CR,GPT-4,391,0.7595907928388747
14,0.9842197357785264,0.950332580743966,CR-baseline,Wrong,380,score_eps1,CR,GPT-4,391,0.9718670076726342
14,0.9860497458032613,0.9535678949280253,CR-baseline,Correct,381,rank_bin_overall,CR,GPT-4,391,0.9744245524296675
14,0.8925841136851522,0.8241592618591984,CR-baseline,Correct,337,rank_exact,CR,GPT-4,391,0.8618925831202046
14,0.9972756224345296,0.9767466008687755,CR-baseline,Correct,372,rank_bin_top_preserve,CR,GPT-4,375,0.992
14,0.7690134759450765,0.331785563988119,CR-baseline,Correct,9,rank_bin_bottom_preserve,CR,GPT-4,16,0.5625
14,1.0,0.9902708828192265,CR-baseline,Wrong,391,rank_bin_overall,CR,GPT-4,391,1.0
14,0.8347661525668456,0.7553441177576551,CR-baseline,Wrong,312,rank_exact,CR,GPT-4,391,0.7979539641943734
14,1.0,0.34238022750665303,CR-baseline,Wrong,2,rank_bin_top_preserve,CR,GPT-4,2,1.0
14,1.0,0.9902213507906571,CR-baseline,Wrong,389,rank_bin_bottom_preserve,CR,GPT-4,389,1.0
14,0.9945258140782346,0.970418447697022,CR-baseline,Both,386,rank_top1,CR,GPT-4,391,0.9872122762148338
